t,x1,y1,z1,x2,y2,z2,dx,dy,dz,cal_x,cal_y,cal_z
1759751865.7104156,5008.73,-1911.18,129.71,-37.26,62.5,35.57,5045.99,-1848.68,165.28,5045.99,-1848.68,165.28
1759751865.7703164,5011.14,-1909.98,123.42,-36.06,63.71,37.75,5047.200000000001,-1846.27,161.17000000000002,5047.200000000001,-1846.27,161.17000000000002
1759751865.8310938,5009.94,-1909.98,122.94,-36.06,62.5,37.99,5046.0,-1847.48,160.93,5046.0,-1847.48,160.93
1759751865.8906233,5007.53,-1908.78,125.84,-37.26,63.71,36.06,5044.79,-1845.07,161.9,5044.79,-1845.07,161.9
1759751866.0714204,5009.94,-1907.57,121.97,-37.26,62.5,37.75,5047.2,-1845.07,159.72,5047.2,-1845.07,159.72
1759751866.130095,5006.33,-1908.78,123.42,-37.26,63.71,37.99,5043.59,-1845.07,161.41,5043.59,-1845.07,161.41
1759751866.1911774,5007.53,-1907.57,118.58,-37.26,62.5,37.27,5044.79,-1845.07,155.85,5044.79,-1845.07,155.85
1759751866.3104587,5005.13,-1907.57,121.24,-37.26,61.3,37.27,5042.39,-1846.27,158.51,5042.39,-1846.27,158.51
1759751866.3705823,5005.13,-1906.37,115.43,-37.26,61.3,36.78,5042.39,-1845.07,152.21,5042.39,-1845.07,152.21
1759751866.4307313,5007.53,-1907.57,124.63,-36.06,63.71,38.72,5043.59,-1843.86,163.35,5043.59,-1843.86,163.35
1759751866.6095238,5005.13,-1906.37,120.52,-37.26,62.5,37.99,5042.39,-1843.87,158.51,5042.39,-1843.87,158.51
1759751866.610524,5003.93,-1906.37,120.27,-36.06,62.5,36.06,5039.990000000001,-1843.87,156.32999999999998,5039.990000000001,-1843.87,156.32999999999998
1759751866.6706924,5006.33,-1905.17,117.13,-37.26,61.3,37.03,5043.59,-1843.8700000000001,154.16,5043.59,-1843.8700000000001,154.16
1759751866.7914884,5006.33,-1906.37,119.06,-37.26,62.5,37.03,5043.59,-1843.87,156.09,5043.59,-1843.87,156.09
1759751866.8506603,5003.93,-1903.97,116.89,-37.26,62.5,37.51,5041.1900000000005,-1841.47,154.4,5041.1900000000005,-1841.47,154.4
1759751866.9108868,5005.13,-1905.17,118.58,-38.46,63.71,37.75,5043.59,-1841.46,156.32999999999998,5043.59,-1841.46,156.32999999999998
1759751866.969782,5003.93,-1905.17,115.43,-37.26,62.5,37.75,5041.1900000000005,-1842.67,153.18,5041.1900000000005,-1842.67,153.18
1759751867.089956,5005.13,-1905.17,113.01,-36.06,62.5,36.3,5041.1900000000005,-1842.67,149.31,5041.1900000000005,-1842.67,149.31
1759751867.1506507,5003.93,-1902.77,112.53,-37.26,62.5,38.72,5041.1900000000005,-1840.27,151.25,5041.1900000000005,-1840.27,151.25
1759751867.210114,5002.72,-1903.97,115.43,-37.26,61.3,38.96,5039.9800000000005,-1842.67,154.39000000000001,5039.9800000000005,-1842.67,154.39000000000001
1759751867.3290844,5003.93,-1903.97,121.73,-37.26,62.5,37.27,5041.1900000000005,-1841.47,159.0,5041.1900000000005,-1841.47,159.0
1759751867.3914948,5002.72,-1903.97,115.19,-37.26,62.5,37.03,5039.9800000000005,-1841.47,152.22,5039.9800000000005,-1841.47,152.22
1759751867.4504716,5003.93,-1901.56,112.77,-37.26,62.5,37.27,5041.1900000000005,-1839.06,150.04,5041.1900000000005,-1839.06,150.04
1759751867.5107346,4999.12,-1902.77,114.71,-36.06,62.5,37.03,5035.18,-1840.27,151.74,5035.18,-1840.27,151.74
1759751867.6308415,4997.92,-1902.77,107.21,-37.26,62.5,37.03,5035.18,-1840.27,144.24,5035.18,-1840.27,144.24
1759751867.6901138,4999.12,-1901.56,107.93,-37.26,62.5,37.75,5036.38,-1839.06,145.68,5036.38,-1839.06,145.68
1759751867.8108823,5001.52,-1901.56,108.17,-38.46,62.5,36.06,5039.9800000000005,-1839.06,144.23000000000002,5039.9800000000005,-1839.06,144.23000000000002
1759751867.812395,5000.32,-1900.36,109.87,-37.26,62.5,37.99,5037.58,-1837.86,147.86,5037.58,-1837.86,147.86
1759751867.9308088,5000.32,-1901.56,112.05,-37.26,62.5,37.27,5037.58,-1839.06,149.32,5037.58,-1839.06,149.32
1759751867.9907353,5000.32,-1900.36,109.87,-38.46,62.5,37.27,5038.78,-1837.86,147.14000000000001,5038.78,-1837.86,147.14000000000001
1759751868.050881,4227.43,-2147.97,889.83,-37.26,63.71,37.51,4264.6900000000005,-2084.2599999999998,927.34,4264.6900000000005,-2084.2599999999998,927.34
1759751868.1703727,4399.32,-2182.83,592.17,-36.06,62.5,36.54,4435.38,-2120.33,628.7099999999999,4435.38,-2120.33,628.7099999999999
1759751868.2303522,4467.83,-2114.32,567.73,-36.06,63.71,37.03,4503.89,-2050.61,604.76,4503.89,-2050.61,604.76
1759751868.2910519,4532.74,-2086.67,531.19,-38.46,63.71,37.51,4571.2,-2022.96,568.7,4571.2,-2022.96,568.7
1759751868.3511622,4572.41,-2065.04,501.18,-37.26,63.71,37.75,4609.67,-2001.33,538.9300000000001,4609.67,-2001.33,538.9300000000001
1759751868.4706247,4598.85,-2051.81,479.16,-38.46,62.5,37.99,4637.31,-1989.31,517.15,4637.31,-1989.31,517.15
1759751868.530427,4619.29,-2056.62,583.95,-36.06,62.5,36.54,4655.35,-1994.12,620.49,4655.35,-1994.12,620.49
